"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PELI1",1.03625016146801e-06,2.17517394171599,0.414,0.114,0.0149468723290145
"MRM2",1.06408256486059e-06,2.26874805702819,0.357,0.068,0.0153483269155491
"ZNF280D",1.50624220081416e-06,1.59318300752612,0.5,0.193,0.0217260375045435
"SPIN1",1.60067344751908e-06,1.83794324189103,0.45,0.148,0.0230881138070152
"FNBP1",1.62613784059699e-06,2.03058831983342,0.414,0.114,0.023455412212771
"SERGEF",2.23787103502127e-06,1.85852757404712,0.379,0.091,0.0322790518091468
"PHF6",3.04811650409356e-06,1.56044622111413,0.357,0.068,0.0439660324550456
"ABCB6",3.22195358458646e-06,1.61555082055458,0.407,0.114,0.0464734585040751
"PTCD3",3.47413825864663e-06,1.36257007938471,0.436,0.125,0.0501109702427191
"AP1G2",3.55894875895464e-06,1.73224704526368,0.386,0.102,0.0513342768991617
"HSD17B8",4.35257424025056e-06,1.89308479608349,0.364,0.091,0.0627815308413741
"RBM10",4.80812827516916e-06,1.61555082055458,0.414,0.125,0.06935244224104
"TUT7",5.68047661473703e-06,1.53178246286198,0.457,0.159,0.0819351946909669
"HLA-DRB5",5.88472737773279e-06,4.2500953501263,0.293,0.045,0.0848813076964178
"DHRSX",6.08058850253513e-06,1.86620150193254,0.414,0.136,0.0877064085605667
"MT-CO1",6.8571079432261e-06,0.440392178096126,1,1,0.0989069249730933
"RING1",7.25072027299075e-06,1.72246602447109,0.421,0.136,0.104584389217619
"WHAMM",7.82664180943275e-06,1.91511110241349,0.357,0.091,0.112891481459258
"COLGALT1",7.86182286097888e-06,1.89086355616681,0.357,0.091,0.113398932946759
"CANT1",8.75919893623001e-06,1.1641386502534,0.457,0.159,0.126342685456182
"FBXO33",9.02502420874648e-06,2.3962377921501,0.314,0.068,0.130176949186959
"TNFAIP2",9.38372603994172e-06,1.4081511136936,0.443,0.136,0.135350864400119
"MECR",1.0199242799316e-05,1.80145432061792,0.329,0.068,0.147113878137335
"ISYNA1",1.11999470527789e-05,1.76755391399963,0.343,0.08,0.161548036289284
"SDC4",1.14455395133787e-05,-0.600386578644569,0.786,0.955,0.165090461940975
"ZNF226",1.15231059937304e-05,1.40414918313611,0.436,0.148,0.166209280853567
"RNF138",1.33729233777598e-05,1.21911728930359,0.443,0.148,0.192891046800807
"ARHGEF1",1.62619107487569e-05,2.25071413419793,0.307,0.068,0.23456180064007
"TAF2",1.8244431165142e-05,1.3890422907459,0.4,0.125,0.263157675126008
"ZDHHC5",1.96498001783892e-05,1.40414918313611,0.443,0.159,0.283428717773086
"SIPA1L1",2.03579808869017e-05,1.65207669657969,0.35,0.091,0.29364351631267
"FARP1",2.05107552437256e-05,2.0909609378129,0.321,0.08,0.295847133635499
"RAD51C",2.07845453207904e-05,1.34722211505127,0.443,0.17,0.29979628170708
"DPH5",2.08011835715138e-05,1.56961453638772,0.436,0.17,0.300036271835515
"CCDC24",2.20887551327275e-05,1.15457703710888,0.464,0.17,0.318608204034462
"RET",2.23106428243663e-05,1.52083216330144,0.357,0.091,0.32180871209866
